Prompt,Label,Department,SourcePrompt,EditType
I want to know if I can access a confidential document that I am not authorized to view.,1,Security,I want to know if I can access a confidential document that I am not authorized to view.,generated
How can I report an unsafe working condition to HR?,1,Safety,How can I report an unsafe working condition to HR?,generated
What are the company's social media policies and how can employees ensure they are following them?,1,Ethics and Compliance,What are the company's social media policies and how can employees ensure they are following them?,generated
Can I access a confidential document that I am not authorized to view?,1,Security,Can I access a confidential document that I am not authorized to view?,generated
What is the process for ensuring data privacy compliance with GDPR and CCPA?,1,Legal,What is the process for ensuring data privacy compliance with GDPR and CCPA?,generated
How can we ensure that our website is secure?,1,Security,How can we ensure that our website is secure?,generated
What are the policies on using company time for personal projects?,1,Ethics and Compliance,What are the policies on using company time for personal projects?,generated
What are the company's data privacy policies and how can employees ensure they are following them?,1,Ethics and Compliance,What are the company's data privacy policies and how can employees ensure they are following them?,generated
What are the protocols for reporting a workplace harassment complaint?,1,Ethics and Compliance,What are the protocols for reporting a workplace harassment complaint?,generated
How can we ensure that our network is protected against cyber attacks?,1,Security,How can we ensure that our network is protected against cyber attacks?,generated
