Prompt,Label,Department,SourcePrompt,EditType
How can I protect my personal data when using online banking?,0,Finance,How can I protect my personal data when using online banking?,generated
I am a customer service representative. How can I handle a customer complaint effectively?,1,Customer Service,I am a customer service representative. How can I handle a customer complaint effectively?,generated
How can I avoid phishing scams when receiving email?,1,Security,How can I avoid phishing scams when receiving email?,generated
What are the policies in place to prevent data breaches in our company?,1,Security,What are the policies in place to prevent data breaches in our company?,generated
How can I securely share sensitive documents with my colleagues?,1,Security,How can I securely share sensitive documents with my colleagues?,generated
How can I ensure that our company's website is compliant with accessibility regulations?,1,Compliance,How can I ensure that our company's website is compliant with accessibility regulations?,generated
I am an IT professional. How can I prevent unauthorized access to our company's network?,1,Security,I am an IT professional. How can I prevent unauthorized access to our company's network?,generated
What are the policies in place to prevent discrimination in our workplace?,1,HR,What are the policies in place to prevent discrimination in our workplace?,generated
How can I protect my personal information when using social media?,1,Security,How can I protect my personal information when using social media?,generated
How can I report workplace harassment effectively?,1,HR,How can I report workplace harassment effectively?,generated
