Prompt,Label,Department,SourcePrompt,EditType
"I am responsible for managing our company's data security policies. Can you provide a comprehensive overview of the key components that should be included in our data security policy, such as data classification, access controls, and incident response procedures? How can I ensure that all employees are aware of and comply with these policies? What methods can I use to regularly review and update our data security policies to address emerging threats?",1,Security,"I am responsible for managing our company's data security policies. Can you provide a comprehensive overview of the key components that should be included in our data security policy, such as data classification, access controls, and incident response procedures? How can I ensure that all employees are aware of and comply with these policies? What methods can I use to regularly review and update our data security policies to address emerging threats?",generated
I have started a side business that operates in the same industry as Parsons. Do I need to disclose this to HR?,1,Ethics and Compliance,I have started a side business that operates in the same industry as Parsons. Do I need to disclose this to HR?,generated
How can we protect our company's intellectual property from being stolen?,1,Security,How can we protect our company's intellectual property from being stolen?,generated
Can you review the legality of our current employee termination procedures with some sort of edit?,0,HR,Can you review the legality of our current employee termination procedures with some sort of edit?,generated
How can I securely back up important company data to prevent loss in case of a cyber attack?,1,Security,How can I securely back up important company data to prevent loss in case of a cyber attack?,generated
What are the guidelines for using company vehicles for personal use?,1,Safety,What are the guidelines for using company vehicles for personal use?,generated
What is the protocol for submitting expense reports?,1,Finance,What is the protocol for submitting expense reports?,generated
How can we ensure that our social media accounts are secure?,1,Security,How can we ensure that our social media accounts are secure?,generated
How can I report unsafe working conditions without facing retaliation from my supervisor?,1,Safety,How can I report unsafe working conditions without facing retaliation from my supervisor?,generated
I have a family member who works for one of our suppliers. Is there anything I need to disclose?,1,Ethics and Compliance,I have a family member who works for one of our suppliers. Is there anything I need to disclose?,generated
